timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2025-10-28 21:00:00,1.0918,1.0952,1.0744,1.0898,2385241,2385241,2586915.0237,1
2025-10-28 21:15:00,1.0898,1.0919,1.0793,1.0793,666859,666859,724038.3185,1
2025-10-28 21:30:00,1.0793,1.0927,1.0786,1.0915,617878,617878,672065.6938,1
2025-10-28 21:45:00,1.0914,1.096,1.0873,1.089,432549,432549,472150.0499,1
2025-10-28 22:00:00,1.0889,1.0893,1.0711,1.0742,1889894,1889894,2038951.8085,1
2025-10-28 22:15:00,1.074,1.0836,1.0715,1.0824,1020114,1020114,1100032.3947,1
2025-10-28 22:30:00,1.0824,1.0846,1.0781,1.0795,927372,927372,1002790.7837,1
2025-10-28 22:45:00,1.0795,1.08,1.0744,1.0793,991866,991866,1068666.0507,1
2025-10-28 23:00:00,1.0793,1.0797,1.0666,1.068,1084606,1084606,1162296.9305,1
2025-10-28 23:15:00,1.0679,1.0725,1.0643,1.0709,1105920,1105920,1181127.9779,1
2025-10-28 23:30:00,1.071,1.074,1.068,1.0685,611137,611137,654415.873,1
2025-10-28 23:45:00,1.0685,1.0739,1.0683,1.0729,502399,502399,538257.3561,1
2025-10-29 00:00:00,1.0729,1.073,1.0611,1.0665,1329571,1329571,1417797.1996,1
2025-10-29 00:15:00,1.0664,1.0756,1.0659,1.073,765389,765389,820150.4403,1
2025-10-29 00:30:00,1.073,1.0784,1.0643,1.0651,1131212,1131212,1212700.3619,1
2025-10-29 00:45:00,1.0651,1.0651,1.0569,1.0615,1247605,1247605,1324046.6065,1
2025-10-29 01:00:00,1.0615,1.0662,1.0567,1.0652,1311628,1311628,1393300.2291,1
2025-10-29 01:15:00,1.0653,1.0657,1.0592,1.0631,792999,792999,842747.1527,1
2025-10-29 01:30:00,1.0631,1.0819,1.0631,1.0759,2212108,2212108,2378903.1844,1
2025-10-29 01:45:00,1.0759,1.0842,1.0701,1.0807,1480702,1480702,1594711.2626,1
2025-10-29 02:00:00,1.0807,1.081,1.0717,1.0736,794310,794310,854896.302,1
2025-10-29 02:15:00,1.0735,1.0795,1.0715,1.0775,827986,827986,889789.0791,1
2025-10-29 02:30:00,1.0774,1.0881,1.0739,1.0878,1356912,1356912,1468168.8104,1
2025-10-29 02:45:00,1.0879,1.0922,1.0812,1.082,941186,941186,1021896.6689,1
2025-10-29 03:00:00,1.0819,1.0819,1.0617,1.0652,2234544,2234544,2391379.7844,1
2025-10-29 03:15:00,1.0651,1.0709,1.0625,1.0675,973949,973949,1039292.8212,1
2025-10-29 03:30:00,1.0676,1.0816,1.0676,1.0808,1012292,1012292,1087990.4375,1
2025-10-29 03:45:00,1.0809,1.088,1.0792,1.0849,940398,940398,1020589.8182,1
2025-10-29 04:00:00,1.085,1.0932,1.0834,1.0836,899650,899650,978812.7542,1
2025-10-29 04:15:00,1.0837,1.085,1.0794,1.0819,470922,470922,509417.828,1
2025-10-29 04:30:00,1.082,1.0867,1.0762,1.0786,599729,599729,648553.2061,1
2025-10-29 04:45:00,1.0786,1.0812,1.0761,1.0762,877667,877667,947220.0334,1
